SMID,SMX,SMY,SMLIBTILEID,SMUSERID,SMGEOMETRYSIZE,RoadName
1,117.2551286,31.85837918,1,0,16,梅山路
2,117.2552245,31.85842599,1,0,16,梅山路-安农大站点
3,117.2553349,31.85846808,1,0,16,梅山路-安农大站点
4,117.255443,31.858506,1,0,16,梅山路-安农大站点
5,117.2555396,31.85855496,1,0,16,梅山路-安农大站点
6,117.255643,31.85859215,1,0,16,梅山路-安农大站点
7,117.2557359,31.85862004,1,0,16,梅山路-安农大站点
8,117.255837,31.85865373,1,0,16,梅山路-安农大站点
9,117.2559473,31.85869236,1,0,16,梅山路-安农大站点
10,117.2560484,31.85873186,1,0,16,梅山路-安农大站点
11,117.2561514,31.85876103,1,0,16,梅山路-安农大站点
12,117.2562425,31.85880275,1,0,16,梅山路-安农大站点
13,117.2563472,31.85883152,1,0,16,梅山路-安农大站点
14,117.2564424,31.858878,1,0,16,梅山路-安农大站点
15,117.2565505,31.85891802,1,0,16,梅山路-安农大站点
16,117.2566574,31.85895237,1,0,16,梅山路-安农大站点
17,117.2567655,31.85898804,1,0,16,梅山路-安农大站点
18,117.2568759,31.85901977,1,0,16,梅山路-安农大站点
19,117.2569898,31.85906277,1,0,16,梅山路-安农大站点
20,117.257092,31.85910228,1,0,16,梅山路-安农大站点
21,117.2571989,31.85913798,1,0,16,梅山路-安农大站点
22,117.257307,31.85917897,1,0,16,梅山路-安农大站点
23,117.2574174,31.85921267,1,0,16,梅山路-安农大站点
24,117.25753,31.85925129,1,0,16,梅山路-安农大站点
25,117.2576346,31.8592908,1,0,16,梅山路-安农大站点
26,117.2577333,31.85932698,1,0,16,梅山路-安农大站点
27,117.2578553,31.85937801,1,0,16,梅山路-安农大站点
28,117.2579936,31.85942908,1,0,16,梅山路-安农大站点
29,117.2581075,31.85946975,1,0,16,梅山路-安农大站点
30,117.2582342,31.85951507,1,0,16,梅山路-安农大站点
31,117.2583666,31.85956155,1,0,16,梅山路-安农大站点
32,117.2584828,31.8596,1,0,16,安农大站点
33,117.2630415,31.8612279,1,0,16,环城西路
34,117.2631461,31.8612616,1,0,16,环城西路-三孝口站点
35,117.2632564,31.861286,1,0,16,环城西路-三孝口站点
36,117.263361,31.861332,1,0,16,环城西路-三孝口站点
37,117.2634758,31.86136361,1,0,16,环城西路-三孝口站点
38,117.2635795,31.86141266,1,0,16,环城西路-三孝口站点
39,117.2636841,31.86145217,1,0,16,环城西路-三孝口站点
40,117.2637817,31.86148935,1,0,16,环城西路-三孝口站点
41,117.2639049,31.86152654,1,0,16,环城西路-三孝口站点
42,117.2640164,31.86156256,1,0,16,环城西路-三孝口站点
43,117.2641291,31.86160556,1,0,16,环城西路-三孝口站点
44,117.2642337,31.86164274,1,0,16,环城西路-三孝口站点
45,117.2643569,31.86169803,1,0,16,环城西路-三孝口站点
46,117.2644767,31.86171684,1,0,16,环城西路-三孝口站点
47,117.2645788,31.86176011,1,0,16,环城西路-三孝口站点
48,117.264695,31.86179961,1,0,16,环城西路-三孝口站点
49,117.2648054,31.86184377,1,0,16,环城西路-三孝口站点
50,117.2649251,31.86189025,1,0,16,环城西路-三孝口站点
51,117.265039,31.86193325,1,0,16,环城西路-三孝口站点
52,117.2651587,31.86196695,1,0,16,环城西路-三孝口站点
53,117.2652574,31.86200936,1,0,16,环城西路-三孝口站点
54,117.2653691,31.86204667,1,0,16,环城西路-三孝口站点
55,117.2654789,31.86208251,1,0,16,环城西路-三孝口站点
56,117.2655906,31.86211529,1,0,16,环城西路-三孝口站点
57,117.2656965,31.86215798,1,0,16,环城西路-三孝口站点
58,117.2658172,31.86220487,1,0,16,环城西路-三孝口站点
59,117.2659431,31.86224351,1,0,16,环城西路-三孝口站点
60,117.2660697,31.8622865,1,0,16,三孝口西站
61,117.2701282,31.86318146,1,0,16,金寨路
62,117.2702499,31.86319518,1,0,16,金寨路-桐城路
63,117.2703732,31.86320908,1,0,16,金寨路-桐城路
64,117.2704924,31.86322902,1,0,16,金寨路-桐城路
65,117.2706225,31.86325197,1,0,16,金寨路-桐城路
66,117.270748,31.86328896,1,0,16,金寨路-桐城路
67,117.270877,31.86330201,1,0,16,金寨路-桐城路
68,117.2709909,31.863321,1,0,16,金寨路-桐城路
69,117.2711141,31.86333603,1,0,16,金寨路-桐城路
70,117.2712396,31.86335557,1,0,16,金寨路-桐城路
71,117.2713813,31.86337648,1,0,16,金寨路-桐城路
72,117.271501,31.86339498,1,0,16,金寨路-桐城路
73,117.2716132,31.86341716,1,0,16,金寨路-桐城路
74,117.2717382,31.86342999,1,0,16,金寨路-桐城路
75,117.2718603,31.86346556,1,0,16,金寨路-桐城路
76,117.2719959,31.86348051,1,0,16,金寨路-桐城路
77,117.2721192,31.86350703,1,0,16,金寨路-桐城路
78,117.2722459,31.86352406,1,0,16,金寨路-桐城路
79,117.2723714,31.86354265,1,0,16,金寨路-桐城路
80,117.2724889,31.86355981,1,0,16,金寨路-桐城路
81,117.272598,31.863582,1,0,16,金寨路-桐城路
82,117.2727114,31.86361065,1,0,16,金寨路-桐城路
83,117.2728481,31.86362084,1,0,16,金寨路-桐城路
84,117.2729586,31.86362907,1,0,16,金寨路-桐城路
85,117.2730725,31.86363756,1,0,16,金寨路-桐城路
86,117.2731953,31.86365653,1,0,16,金寨路-桐城路
87,117.2733184,31.863679,1,0,16,金寨路-桐城路
88,117.2734323,31.86369504,1,0,16,金寨路-桐城路
89,117.2735614,31.86369504,1,0,16,金寨路-桐城路
90,117.2736844,31.86371188,1,0,16,金寨路-桐城路
91,117.2738151,31.86373398,1,0,16,金寨路-桐城路
92,117.273939,31.86375003,1,0,16,金寨路-桐城路
93,117.2740607,31.8637755,1,0,16,金寨路-桐城路
94,117.2741818,31.86377041,1,0,16,金寨路-桐城路
96,117.2743201,31.863779,1,0,16,金寨路-桐城路
97,117.2744492,31.86379884,1,0,16,金寨路-桐城路
98,117.2745722,31.86379749,1,0,16,金寨路-桐城路
99,117.2746779,31.86380097,1,0,16,桐城路
100,117.2816734,31.86362788,1,0,16,徽州大道
101,117.2817922,31.8636183,1,0,16,徽州大道-无为路
102,117.2819134,31.86362607,1,0,16,徽州大道-无为路
103,117.2820278,31.86360999,1,0,16,徽州大道-无为路
104,117.2821324,31.86360999,1,0,16,徽州大道-无为路
105,117.2822547,31.86360482,1,0,16,徽州大道-无为路
106,117.2823774,31.86360893,1,0,16,徽州大道-无为路
107,117.2825132,31.86361347,1,0,16,徽州大道-无为路
108,117.2826449,31.86359634,1,0,16,徽州大道-无为路
109,117.2827717,31.86359825,1,0,16,徽州大道-无为路
110,117.2828916,31.86359091,1,0,16,徽州大道-无为路
111,117.2830106,31.86360133,1,0,16,徽州大道-无为路
112,117.283139,31.86359825,1,0,16,徽州大道-无为路
113,117.2832689,31.86359397,1,0,16,徽州大道-无为路
114,117.283392,31.86360133,1,0,16,徽州大道-无为路
115,117.2835345,31.86359825,1,0,16,徽州大道-无为路
116,117.2836477,31.86360133,1,0,16,徽州大道-无为路
117,117.2837768,31.86362905,1,0,16,徽州大道-无为路
118,117.283887,31.86363386,1,0,16,徽州大道-无为路
119,117.283993,31.863663,1,0,16,徽州大道-无为路
120,117.2841334,31.86366102,1,0,16,徽州大道-无为路
121,117.2842588,31.8636719,1,0,16,徽州大道-无为路
122,117.2843951,31.86367646,1,0,16,徽州大道-无为路
123,117.2845295,31.86369435,1,0,16,徽州大道-无为路
124,117.2846722,31.86371097,1,0,16,徽州大道-无为路
125,117.2847971,31.86373104,1,0,16,徽州大道-无为路
126,117.2849143,31.86375102,1,0,16,徽州大道-无为路
127,117.2850154,31.86375102,1,0,16,徽州大道-无为路
128,117.28512,31.86376002,1,0,16,徽州大道-无为路
129,117.2852339,31.86377703,1,0,16,徽州大道-无为路
130,117.2853535,31.86377703,1,0,16,徽州大道-无为路
131,117.2854801,31.86379761,1,0,16,徽州大道-无为路
132,117.2855965,31.86380175,1,0,16,徽州大道-无为路
133,117.2856941,31.86382719,1,0,16,徽州大道-无为路
134,117.2858148,31.86383796,1,0,16,无为路
135,117.285916,31.86384804,1,0,16,无为路-环城南路
136,117.2860298,31.86384804,1,0,16,无为路-环城南路
137,117.286151,31.86385873,1,0,16,无为路-环城南路
138,117.286268,31.86385886,1,0,16,无为路-环城南路
139,117.2863908,31.86387377,1,0,16,无为路-环城南路
140,117.2864911,31.86388495,1,0,16,无为路-环城南路
141,117.2865927,31.8638983,1,0,16,无为路-环城南路
142,117.2867139,31.86391302,1,0,16,无为路-环城南路
143,117.286838,31.86392809,1,0,16,无为路-环城南路
144,117.2869618,31.86393102,1,0,16,无为路-环城南路
145,117.2870815,31.86395001,1,0,16,无为路-环城南路
146,117.2872012,31.86395001,1,0,16,无为路-环城南路
147,117.287321,31.86395982,1,0,16,无为路-环城南路
148,117.2874231,31.8639726,1,0,16,无为路-环城南路
149,117.2875149,31.863988,1,0,16,无为路-环城南路
150,117.2876224,31.863988,1,0,16,无为路-环城南路
151,117.2877241,31.86401103,1,0,16,无为路-环城南路
152,117.2878379,31.86401812,1,0,16,无为路-环城南路
153,117.2879541,31.86401776,1,0,16,无为路-环城南路
154,117.2880657,31.86403,1,0,16,无为路-环城南路
155,117.28814,31.86404349,1,0,16,无为路-环城南路
156,117.2882528,31.86405162,1,0,16,无为路-环城南路
157,117.2883946,31.8640644,1,0,16,无为路-环城南路
158,117.2885166,31.86408699,1,0,16,无为路-环城南路
159,117.2886374,31.86409401,1,0,16,无为路-环城南路
160,117.2887443,31.86411102,1,0,16,无为路-环城南路
161,117.288864,31.86412948,1,0,16,无为路-环城南路
162,117.2889686,31.86414801,1,0,16,无为路-环城南路
163,117.2890802,31.86414801,1,0,16,无为路-环城南路
164,117.2891906,31.86416601,1,0,16,无为路-环城南路
165,117.2892986,31.86416601,1,0,16,无为路-环城南路
166,117.2893962,31.86419339,1,0,16,无为路-环城南路
167,117.2895043,31.86420269,1,0,16,无为路-环城南路
168,117.2896182,31.86422152,1,0,16,无为路-环城南路
169,117.2897414,31.864239,1,0,16,无为路-环城南路
170,117.2898646,31.86424441,1,0,16,无为路-环城南路
171,117.289965,31.86425667,1,0,16,无为路-环城南路
172,117.2900663,31.86426435,1,0,16,无为路-环城南路
173,117.2901655,31.86427607,1,0,16,无为路-环城南路
174,117.2902829,31.86427607,1,0,16,无为路-环城南路
175,117.2904063,31.86426758,1,0,16,无为路-环城南路
176,117.2905254,31.86426709,1,0,16,无为路-环城南路
177,117.2906454,31.86426435,1,0,16,无为路-环城南路
178,117.2907743,31.86426758,1,0,16,无为路-环城南路
179,117.2908815,31.86425667,1,0,16,无为路-环城南路
180,117.2909745,31.86425667,1,0,16,无为路-环城南路
181,117.2910823,31.86426435,1,0,16,无为路-环城南路
182,117.2912078,31.86426435,1,0,16,无为路-环城南路
183,117.2913561,31.86426435,1,0,16,无为路-环城南路
184,117.2914844,31.86424973,1,0,16,无为路-环城南路
185,117.2916111,31.86425322,1,0,16,无为路-环城南路
186,117.2917366,31.86425322,1,0,16,无为路-环城南路
187,117.2918725,31.86424973,1,0,16,无为路-环城南路
188,117.2919887,31.86424392,1,0,16,无为路-环城南路
189,117.2921421,31.86424392,1,0,16,无为路-环城南路
190,117.292299,31.86424392,1,0,16,无为路-环城南路
191,117.2924407,31.86424392,1,0,16,无为路-环城南路
192,117.2926034,31.86423462,1,0,16,无为路-环城南路
193,117.2927524,31.86424973,1,0,16,无为路-环城南路
194,117.2929003,31.86423462,1,0,16,无为路-环城南路
195,117.2930252,31.8642247,1,0,16,无为路-环城南路
196,117.2931659,31.8642247,1,0,16,无为路-环城南路
197,117.2932983,31.86423462,1,0,16,无为路-环城南路
198,117.2934458,31.86422329,1,0,16,环城南路
199,117.2935877,31.8642247,1,0,16,环城南路-滁州路
200,117.2937376,31.86422329,1,0,16,环城南路-滁州路
201,117.2938552,31.8642247,1,0,16,环城南路-滁州路
202,117.2939773,31.86421667,1,0,16,环城南路-滁州路
203,117.2941106,31.86421333,1,0,16,环城南路-滁州路
204,117.2942309,31.86422709,1,0,16,环城南路-滁州路
205,117.2943601,31.86421891,1,0,16,环城南路-滁州路
206,117.2944854,31.86419563,1,0,16,环城南路-滁州路
207,117.2946126,31.86418575,1,0,16,环城南路-滁州路
208,117.2947296,31.8641556,1,0,16,环城南路-滁州路
209,117.2948403,31.86415388,1,0,16,环城南路-滁州路
210,117.2949895,31.8641272,1,0,16,环城南路-滁州路
211,117.2951297,31.86410223,1,0,16,环城南路-滁州路
212,117.295261,31.864067,1,0,16,环城南路-滁州路
213,117.2953993,31.864047,1,0,16,环城南路-滁州路
214,117.2955283,31.86400414,1,0,16,环城南路-滁州路
215,117.2956676,31.86397774,1,0,16,环城南路-滁州路
216,117.2957909,31.86395436,1,0,16,环城南路-滁州路
217,117.2959327,31.86391871,1,0,16,环城南路-滁州路
218,117.2960639,31.863882,1,0,16,环城南路-滁州路
219,117.2961929,31.86385292,1,0,16,环城南路-滁州路
220,117.2963254,31.86382154,1,0,16,环城南路-滁州路
221,117.2964672,31.86377855,1,0,16,环城南路-滁州路
222,117.2966191,31.86374179,1,0,16,环城南路-滁州路
223,117.2967707,31.86371721,1,0,16,环城南路-滁州路
224,117.296919,31.86369316,1,0,16,环城南路-滁州路
225,117.2970658,31.86365848,1,0,16,环城南路-滁州路
226,117.2971981,31.863637,1,0,16,环城南路-滁州路
227,117.2973372,31.86362167,1,0,16,环城南路-滁州路
228,117.2974878,31.8636159,1,0,16,环城南路-滁州路
229,117.2976476,31.86361805,1,0,16,环城南路-滁州路
230,117.2977946,31.86364098,1,0,16,环城南路-滁州路
231,117.2979395,31.863637,1,0,16,环城南路-滁州路
232,117.298095,31.86365848,1,0,16,环城南路-滁州路
233,117.2982284,31.863674,1,0,16,环城南路-滁州路
234,117.298364,31.863709,1,0,16,环城南路-滁州路
235,117.298502,31.86373581,1,0,16,环城南路-滁州路
236,117.2986403,31.863756,1,0,16,环城南路-滁州路
237,117.2987726,31.863793,1,0,16,环城南路-滁州路
238,117.2989039,31.86380778,1,0,16,环城南路-滁州路
239,117.2990562,31.8638244,1,0,16,滁州路
240,117.2991759,31.86385175,1,0,16,滁州路-东方商城站
241,117.2993083,31.86388197,1,0,16,滁州路-东方商城站
242,117.2994489,31.86390985,1,0,16,滁州路-东方商城站
243,117.2995942,31.86394355,1,0,16,滁州路-东方商城站
244,117.2997569,31.86397144,1,0,16,滁州路-东方商城站
245,117.2999161,31.86400863,1,0,16,滁州路-东方商城站
246,117.3000636,31.86404581,1,0,16,滁州路-东方商城站
247,117.300224,31.86407021,1,0,16,滁州路-东方商城站
248,117.3003809,31.86410043,1,0,16,滁州路-东方商城站
249,117.3005226,31.86413413,1,0,16,滁州路-东方商城站
250,117.3006667,31.8641655,1,0,16,滁州路-东方商城站
251,117.300805,31.86418642,1,0,16,滁州路-东方商城站
252,117.3009247,31.86421082,1,0,16,滁州路-东方商城站
253,117.3010758,31.86424568,1,0,16,滁州路-东方商城站
254,117.3012232,31.86428234,1,0,16,滁州路-东方商城站
255,117.3013491,31.86430479,1,0,16,滁州路-东方商城站
256,117.3015009,31.86433188,1,0,16,滁州路-东方商城站
257,117.3016405,31.86436302,1,0,16,东方商城
